Token,Average Price (USD),Price (USD),Price Ratio (Average / Latest)
aave,188.2923146631969,199.27934075737195,0.9448662061384875
algorand,0.3136155636574432,0.4458528776360346,0.7034059426066072
aptos,12.537491183885166,13.322040668325348,0.9411089108663707
arbitrum,0.9015205745251224,0.931009003275007,0.9683263763871742
arweave,21.321701335837663,22.320821512749315,0.9552381987221675
avalanche-2,42.77930671090149,45.00028678584024,0.950645201762634
based-brett,0.1661912212275939,0.1744669245330463,0.9525657752745857
beam-2,0.0240325303339892,0.0269692661556575,0.8911080559360255
binance-peg-weth,3483.176894769824,3601.1496710213346,0.967240246302217
binancecoin,645.2459275937308,654.771684845135,0.9854517880478334
bitcoin-cash-sv,68.9504657683285,71.11947907230076,0.9695018392673093
bitcoin-cash,508.4270778777878,518.7591571335456,0.9800830903634574
bitcoin,95675.42213210223,97453.2473451042,0.9817571475406429
bitget-token,1.5983012190748889,1.6320553814450371,0.9793180043067766
bittensor,561.4325073308831,617.502132510622,0.909199301139621
blockstack,2.1754958864833136,2.3459408641870105,0.9273447253911216
bonk,4.50091337927003e-05,4.670267475280557e-05,0.963737816536867
cardano,1.0170638388110105,1.0795804194768817,0.9420917797896298
celestia,7.924616430574447,8.098109591940393,0.9785760911980477
chainlink,17.865719562624214,18.314884538081003,0.9754754132070629
coinbase-wrapped-btc,95698.18188887028,97416.52536514084,0.9823608625966714
coredaoorg,1.1257275400433435,1.374435992168921,0.8190469010251219
cosmos,8.322229034981833,8.77204063021665,0.9487221258773733
crypto-com-chain,0.185058295214617,0.1901453555707243,0.9732464653641505
dai,1.0002408761889696,1.0006278974602827,0.9996132215858708
dogecoin,0.4097317700008756,0.4258989340288024,0.9620399049253466
dogwifcoin,3.1602164491621103,3.287282133858609,0.9613462795335583
eos,0.8302753909985751,0.957842875006034,0.8668179433848633
ethena-usde,1.001606660243085,1.0017428029726525,0.999864094127591
ethena,0.6841718245251488,0.7868090536705419,0.8695525570447108
ethereum-classic,30.495495400735734,32.00019197978683,0.9529785140038677
ethereum,3478.47001113082,3598.1933212253616,0.9667268266581713
fantom,1.0024154798195406,1.033605690277129,0.9698238789211526
fetch-ai,1.5254005807986943,1.7251537545878135,0.8842113792710345
filecoin,5.681781768571385,6.151680813012683,0.9236145276836669
first-digital-usd,0.9975368205695538,0.9991931894791354,0.9983422936354831
flare-networks,0.023712394782182,0.0281141367047577,0.8434331465055869
floki,0.000228464706161,0.0002310432606475,0.9888395165508244
flow,0.9065944935126976,0.9949043338249026,0.9112378574403245
gala,0.0378174169633254,0.0400055135222316,0.945305125062568
gatechain-token,11.157336901458567,11.45592623913728,0.9739358187678765
hedera-hashgraph,0.1489736978099074,0.1806230011080213,0.8247770045677291
helium,6.319896736363961,6.522906316677611,0.9688774343125854
immutable-x,1.755482549847741,1.9377178274785352,0.9059536558695295
injective-protocol,29.10073024614994,30.35272338568112,0.9587518680408821
internet-computer,11.585146535517715,12.084036928629596,0.9587149231619853
jasmycoin,0.0254709246026461,0.0269849599474864,0.9438933632739621
jupiter-exchange-solana,1.1100950985472278,1.1610449993376697,0.9561172040536698
kaia,0.1891235791734643,0.1964353094612451,0.9627779226258539
kaspa,0.1521394035264419,0.15432566569956,0.9858334505591941
kucoin-shares,11.597469132996972,11.844746561152844,0.979123451322558
leo-token,8.441063281882473,8.658904543553714,0.9748419375019652
lido-dao,1.6199995479631453,1.756556685440804,0.922258621876817
litecoin,96.89755339279704,103.58478647814664,0.9354419378297371
maker,1781.7272144799515,1810.8136202757976,0.9839373829144183
mantle-staked-ether,3646.725479772516,3780.718613271749,0.9645588187841151
mantle,0.8561000887952088,0.8777164339258207,0.9753720628951574
mantra-dao,3.555771304775716,3.464539685249892,1.0263329699798902
monero,159.47886049296537,159.09842964386857,1.0023911665875544
near,6.712397049877668,6.98465140757466,0.96102105290441
okb,53.21995663096608,54.168252785860965,0.9824935066921263
ondo-finance,1.0696437399412784,1.1657172263710505,0.917584226897929
optimism,2.307772780315702,2.385789125250138,0.9672995638597118
pepe,1.9727306747888266e-05,2.0513765906052883e-05,0.9616618829635488
polkadot,8.52953271148975,9.01310368744932,0.9463480069986393
polygon-ecosystem-token,0.5640169582199567,0.5856533738638976,0.9630559361398486
pyth-network,0.4515256643682085,0.4850685431552898,0.9308491979939774
quant-network,96.38245628826232,98.0954423294354,0.9825375572962877
raydium,5.729430446186071,5.694703041334472,1.006098194163863
render-token,7.988418890707286,8.769280663306018,0.9109548659029523
renzo-restaked-eth,3572.2894314981654,3690.938682447756,0.9678539089490089
ripple,1.5033329996398803,1.8089606822663933,0.8310479129686771
rocket-pool-eth,3876.6368317671695,4010.4244622819087,0.9666400323025621
sei-network,0.6492232731616229,0.6774686921609201,0.9583074180015568
shiba-inu,2.543961491210234e-05,2.6070296691565355e-05,0.9758084157259683
solana,242.4964271988559,243.70089664594224,0.9950575912371951
solv-btc,95390.491918569,97117.44871144838,0.9822178525507764
staked-ether,3475.5446719664096,3597.1711670394066,0.9661882936826997
starknet,0.607582225021166,0.6282714888735096,0.9670695484058341
stellar,0.5001818220034704,0.5508141202675485,0.9080773415186155
sui,3.406213443218149,3.4898833358290027,0.9760250172973252
